"臓器","分類","カテゴリ","サブカテゴリ","疾患","UID","H28対応項目","修正案(20220318)","コメント(20220318)","重要(20220318)","診断","治療","教育","予防","作成時(20220316コメント)","修正案(20220316)","パフォーマンス"
"呼吸器系","疾患・病態","閉塞性換気障害・拘束性換気障害","じん肺症","石綿肺","Jlvnly4","D-06-04-03-01, D-06-04-03-02, D-06-04-03-03, D-06-04-03-04, D-06-04-03-05, D-06-04-03-06, D-06-04-03-07","","","","","","","","","",""
"呼吸器系","疾患・病態","肺循環障害","","肺性心","Jlvnly8","D-06-04-04-01, D-06-04-04-02, D-06-04-04-03, D-06-04-04-04,","","","","","","","","","",""
"呼吸器系","疾患・病態","肺循環障害","","急性呼吸促(窮)迫症候群(acute respiratory distress syndrome （ARDS）)","JlvnlzE","D-06-04-04-01, D-06-04-04-02, D-06-04-04-03, D-06-04-04-04,","","","","","","","","","",""
"呼吸器系","疾患・病態","肺循環障害","","肺血栓塞栓症","JlvnlzI","D-06-04-04-01, D-06-04-04-02, D-06-04-04-03, D-06-04-04-04,","","","","","","","","","",""
"呼吸器系","疾患・病態","肺循環障害","肺高血圧症","原発性","JlvnlzQ","D-06-04-04-01, D-06-04-04-02, D-06-04-04-03, D-06-04-04-04,","","","","","","","","統合すべきか?","",""
"呼吸器系","疾患・病態","肺循環障害","肺高血圧症","二次性","JlvnlzY","D-06-04-04-01, D-06-04-04-02, D-06-04-04-03, D-06-04-04-04,","","","","","","","","統合すべきか?","",""
"呼吸器系","疾患・病態","肺循環障害","","肺動静脈瘻","Jlvnlzc","D-06-04-04-01, D-06-04-04-02, D-06-04-04-03, D-06-04-04-04,","","","","","","","","","",""
"呼吸器系","疾患・病態","免疫学的機序による肺疾患","","過敏性肺炎","Jlvnlzk","D-06-04-05-01, D-06-04-05-02, D-06-04-05-03, D-06-04-05-04,","","","","","","","","","",""
"呼吸器系","疾患・病態","免疫学的機序による肺疾患","","サルコイドーシス","Jlvnlzo","D-06-04-05-01, D-06-04-05-02, D-06-04-05-03, D-06-04-05-04,","","","","","","","","","",""
"呼吸器系","疾患・病態","免疫学的機序による肺疾患","","好酸球性肺炎","Jlvnlzw","D-06-04-05-01, D-06-04-05-02, D-06-04-05-03, D-06-04-05-04,","","","","","","","","","",""
"呼吸器系","疾患・病態","免疫学的機序による肺疾患","","薬剤性肺炎","Jlvnlz0","D-06-04-05-01, D-06-04-05-02, D-06-04-05-03, D-06-04-05-04,","","","","","","","","","",""
"呼吸器系","疾患・病態","免疫学的機序による肺疾患","","アレルギー性気管支肺アスペルギルス症","Jlvnlz8","D-06-04-05-01, D-06-04-05-02, D-06-04-05-03, D-06-04-05-04,","","","","","","","","","",""
"呼吸器系","疾患・病態","異常呼吸","","過換気症候群","Jlvnl0A","D-06-04-06-01, D-06-04-06-02, D-06-04-06-03","","","","","","","","","",""
"呼吸器系","疾患・病態","異常呼吸","","睡眠時無呼吸症候群","Jlvnl0I","D-06-04-06-01, D-06-04-06-02, D-06-04-06-03","","","","","","","","","",""
"呼吸器系","疾患・病態","異常呼吸","","肺胞低換気症候群","Jlvnl0Q","D-06-04-06-01, D-06-04-06-02, D-06-04-06-03","","","","","","","","","",""
"呼吸器系","疾患・病態","その他の機序による肺疾患","","気管支拡張症","Jlvnl0U","D-06-04-07-01, D-06-04-07-02, D-06-04-07-03, D-06-04-07-04, D-06-04-07-05","","","","","","","","","",""
"呼吸器系","疾患・病態","その他の機序による肺疾患","","無気肺","Jlvnl0c","D-06-04-07-01, D-06-04-07-02, D-06-04-07-03, D-06-04-07-04, D-06-04-07-05","","","","","","","","","",""
"呼吸器系","疾患・病態","その他の機序による肺疾患","","新生児呼吸促迫症候群","Jlvnl0g","D-06-04-07-01, D-06-04-07-02, D-06-04-07-03, D-06-04-07-04, D-06-04-07-05","","","","","","","","","",""
"呼吸器系","疾患・病態","その他の機序による肺疾患","","肺リンパ脈管筋腫症","Jlvnl0o","D-06-04-07-01, D-06-04-07-02, D-06-04-07-03, D-06-04-07-04, D-06-04-07-05","","","","","","","","","",""
"呼吸器系","疾患・病態","その他の機序による肺疾患","","肺胞タンパク症","Jlvnl0s","D-06-04-07-01, D-06-04-07-02, D-06-04-07-03, D-06-04-07-04, D-06-04-07-05","","","","","","","","","",""
"呼吸器系","疾患・病態","その他の機序による肺疾患","","癌性リンパ管症","Jlvnl00","D-06-04-07-01, D-06-04-07-02, D-06-04-07-03, D-06-04-07-04, D-06-04-07-05","","","","","","","","","",""
"呼吸器系","疾患・病態","胸膜・縦隔疾患・横隔膜","","胸膜炎","Jlvnl08","D-06-04-08-01, D-06-04-08-02, D-06-04-08-03, D-06-04-08-04,","","","","","","","","","",""
"呼吸器系","疾患・病態","胸膜・縦隔疾患・横隔膜","気胸","自然","Jlvnl1A","D-06-04-08-01, D-06-04-08-02, D-06-04-08-03, D-06-04-08-04,","","","","","","","","","",""
"呼吸器系","疾患・病態","胸膜・縦隔疾患・横隔膜","気胸","緊張性","Jlvnl1I","D-06-04-08-01, D-06-04-08-02, D-06-04-08-03, D-06-04-08-04,","","","","","","","","","",""
"呼吸器系","疾患・病態","胸膜・縦隔疾患・横隔膜","気胸","外傷性","Jlvnl1M","D-06-04-08-01, D-06-04-08-02, D-06-04-08-03, D-06-04-08-04,","","","","","","","","","",""
"呼吸器系","疾患・病態","胸膜・縦隔疾患・横隔膜","","縦隔気腫","Jlvnl1U","D-06-04-08-01, D-06-04-08-02, D-06-04-08-03, D-06-04-08-04,","","","","","","","","","",""
"呼吸器系","疾患・病態","胸膜・縦隔疾患・横隔膜","","血胸","Jlvnl1Y","D-06-04-08-01, D-06-04-08-02, D-06-04-08-03, D-06-04-08-04,","","","","","","","","","",""
"呼吸器系","疾患・病態","胸膜・縦隔疾患・横隔膜","","乳び胸","Jlvnl1g","D-06-04-08-01, D-06-04-08-02, D-06-04-08-03, D-06-04-08-04,","","","","","","","","","",""
"呼吸器系","疾患・病態","胸膜・縦隔疾患・横隔膜","","縦隔炎","Jlvnl1o","D-06-04-08-01, D-06-04-08-02, D-06-04-08-03, D-06-04-08-04,","","","","","","","","","",""
"呼吸器系","疾患・病態","胸膜・縦隔疾患・横隔膜","","胸郭変形（漏斗胸）","Jlvnl1s","D-06-04-08-01, D-06-04-08-02, D-06-04-08-03, D-06-04-08-04,","","","","","","","","","",""
"呼吸器系","疾患・病態","胸膜・縦隔疾患・横隔膜","","横隔神経麻痺","Jlvnl10","D-06-04-08-01, D-06-04-08-02, D-06-04-08-03, D-06-04-08-04,","","","","","","","","","",""
"呼吸器系","疾患・病態","胸膜・縦隔疾患・横隔膜","","横隔膜ヘルニア","Jlvnl14","D-06-04-08-01, D-06-04-08-02, D-06-04-08-03, D-06-04-08-04,","","","","","","","","","",""
"呼吸器系","疾患・病態","腫瘍性疾患","","※腫瘍の項目を参照","Jlvnl2A","","","","","","","","","","",""
"消化器系","疾患・病態","食道疾患","","食道・胃静脈瘤","Jlvnl2E","D-07-04-01-01,D-07-04-01-02, D-07-04-01-03","","","","","","","","","",""
"消化器系","疾患・病態","食道疾患","","胃食道逆流症(gastroesophageal reflux disease （GERD）)","Jlvnl2M","D-07-04-01-01,D-07-04-01-02, D-07-04-01-03","","","","","","","","","",""
"消化器系","疾患・病態","食道疾患","","逆流性食道炎","Jlvnl2U","D-07-04-01-01,D-07-04-01-02, D-07-04-01-03","","","","","","","","","",""
"消化器系","疾患・病態","食道疾患","","Mallory-Weiss 症候群","Jlvnl2Y","D-07-04-01-01,D-07-04-01-02, D-07-04-01-03","","","","","","","","","",""
"消化器系","疾患・病態","食道疾患","","食道アカラシア","Jlvnl2g","D-07-04-01-01,D-07-04-01-02, D-07-04-01-03","","","","","","","","","",""
"消化器系","疾患・病態","胃・十二指腸疾患","","消化性潰瘍（胃潰瘍・十二指腸潰瘍)","Jlvnl2k","D-07-04-02-01, D-07-04-02-02, D-07-04-02-03, D-07-04-02-04, D-07-04-02-05, D-07-04-02-06, D-07-04-02-07, D-07-04-02-08","","","","","","","","","",""
"消化器系","疾患・病態","胃・十二指腸疾患","","Helicobacter pylori 感染症","Jlvnl2s","D-07-04-02-01, D-07-04-02-02, D-07-04-02-03, D-07-04-02-04, D-07-04-02-05, D-07-04-02-06, D-07-04-02-07, D-07-04-02-08","","","","","","","","","",""
"消化器系","疾患・病態","胃・十二指腸疾患","","胃ポリープ","Jlvnl2w","D-07-04-02-01, D-07-04-02-02, D-07-04-02-03, D-07-04-02-04, D-07-04-02-05, D-07-04-02-06, D-07-04-02-07, D-07-04-02-08","","","","","","","","","",""
"消化器系","疾患・病態","胃・十二指腸疾患","","急性胃粘膜病変","Jlvnl24","D-07-04-02-01, D-07-04-02-02, D-07-04-02-03, D-07-04-02-04, D-07-04-02-05, D-07-04-02-06, D-07-04-02-07, D-07-04-02-08","","","","","","","","","",""
"消化器系","疾患・病態","胃・十二指腸疾患","","急性胃腸炎","Jlvnl28","D-07-04-02-01, D-07-04-02-02, D-07-04-02-03, D-07-04-02-04, D-07-04-02-05, D-07-04-02-06, D-07-04-02-07, D-07-04-02-08","","","","","","","","","",""
"消化器系","疾患・病態","胃・十二指腸疾患","","慢性胃炎","Jlvnl3E","D-07-04-02-01, D-07-04-02-02, D-07-04-02-03, D-07-04-02-04, D-07-04-02-05, D-07-04-02-06, D-07-04-02-07, D-07-04-02-08","","","","","","","","","",""
"消化器系","疾患・病態","胃・十二指腸疾患","","胃切除後症候群","Jlvnl3M","D-07-04-02-01, D-07-04-02-02, D-07-04-02-03, D-07-04-02-04, D-07-04-02-05, D-07-04-02-06, D-07-04-02-07, D-07-04-02-08","","","","","","","","","",""
"消化器系","疾患・病態","胃・十二指腸疾患","","機能性消化管障害（機能性ディスペプシア(functional dyspepsia（FD）)）","Jlvnl3Q","D-07-04-02-01, D-07-04-02-02, D-07-04-02-03, D-07-04-02-04, D-07-04-02-05, D-07-04-02-06, D-07-04-02-07, D-07-04-02-08","","","","","","","","","",""
"消化器系","疾患・病態","胃・十二指腸疾患","","肥厚性幽門狭窄症","Jlvnl3Y","D-07-04-02-01, D-07-04-02-02, D-07-04-02-03, D-07-04-02-04, D-07-04-02-05, D-07-04-02-06, D-07-04-02-07, D-07-04-02-08","","","","","","","","","",""
"消化器系","疾患・病態","胃・十二指腸疾患","","胃アニサキス症","Jlvnl3c","D-07-04-02-01, D-07-04-02-02, D-07-04-02-03, D-07-04-02-04, D-07-04-02-05, D-07-04-02-06, D-07-04-02-07, D-07-04-02-08","","","","","","","","","",""
"消化器系","疾患・病態","小腸・大腸疾患","","急性虫垂炎","Jlvnl3k","D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","","","","","","","","","",""
"消化器系","疾患・病態","小腸・大腸疾患","","腸閉塞","Jlvnl3o","D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","","","","","","","","","",""
"消化器系","疾患・病態","小腸・大腸疾患","炎症性腸疾患","潰瘍性大腸炎","Jlvnl3s","D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","","","","","","","","","",""
"消化器系","疾患・病態","小腸・大腸疾患","炎症性腸疾患","Crohn 病","Jlvnl3w","D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","","","","","","","","","",""
"消化器系","疾患・病態","小腸・大腸疾患","","痔核・痔瘻","Jlvnl30","D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","","","","","","","","","",""
"消化器系","疾患・病態","小腸・大腸疾患","","機能性消化管障害（過敏性腸症候群）","Jlvnl34","D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","","","","","","","","","",""
"消化器系","疾患・病態","小腸・大腸疾患","腸管憩室症","大腸憩室炎","Jlvnl38","D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","","","","","","","","","",""
"消化器系","疾患・病態","小腸・大腸疾患","腸管憩室症","大腸憩室出血","Jlvnl4E","D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","","","","","","","","","",""
"消化器系","疾患・病態","小腸・大腸疾患","","薬物性腸炎","Jlvnl4I","D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","","","","","","","","","",""
"消化器系","疾患・病態","小腸・大腸疾患","","消化管ポリポーシス","Jlvnl4Q","D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","","","","","","","","","",""
"消化器系","疾患・病態","小腸・大腸疾患","先天性疾患","鎖肛","Jlvnl4U","D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","","","","","","","","","",""
"消化器系","疾患・病態","小腸・大腸疾患","先天性疾患","Hirschsprung 病","Jlvnl4c","D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","","","","","","","","","",""
"消化器系","疾患・病態","小腸・大腸疾患","","腸重積症","Jlvnl4g","D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","","","","","","","","","",""
"消化器系","疾患・病態","小腸・大腸疾患","","便秘症","Jlvnl4o","D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","","","","","","","","","",""
"消化器系","疾患・病態","小腸・大腸疾患","","感染性腸炎","Jlvnl4s","D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","","","","","","","","","",""
"消化器系","疾患・病態","小腸・大腸疾患","","乳児下痢症","Jlvnl40","D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","","","","","","","","","",""
"消化器系","疾患・病態","小腸・大腸疾患","","虚血性大腸炎","Jlvnl48","D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","","","","","","","","","",""
"消化器系","疾患・病態","小腸・大腸疾患","","急性出血性直腸潰瘍","Jlvnl5A","D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","","","","","","","","","",""
"消化器系","疾患・病態","小腸・大腸疾患","","上腸間膜動脈閉塞症","Jlvnl5I","D-07-04-03-01, D-07-04-03-02, D-07-04-03-03, D-07-04-03-04, D-07-04-03-05, D-07-04-03-06, D-07-04-03-07, D-07-04-03-08, D-07-04-03-09,D-07-04-03-10,D-07-04-03-11,D-07-04-03-12,D-07-04-03-13,D-07-04-03-14,D-07-04-03-15,D-07-04-03-16,D-07-04-03-17","","","","","","","","","",""
"消化器系","疾患・病態","胆道疾患","","胆石症","Jlvnl5M","D-07-04-04-01,D-07-04-04-02,D-07-04-04-03,D-07-04-04-04","","","","","","","","","",""
"消化器系","疾患・病態","胆道疾患","","胆嚢炎","Jlvnl5U","D-07-04-04-01,D-07-04-04-02,D-07-04-04-03,D-07-04-04-04","","","","","","","","","",""
"消化器系","疾患・病態","胆道疾患","","胆管炎","Jlvnl5Y","D-07-04-04-01,D-07-04-04-02,D-07-04-04-03,D-07-04-04-04","","","","","","","","","",""
"消化器系","疾患・病態","胆道疾患","","胆嚢ポリープ","Jlvnl5g","D-07-04-04-01,D-07-04-04-02,D-07-04-04-03,D-07-04-04-04","","","","","","","","","",""
"消化器系","疾患・病態","胆道疾患","","先天性胆道拡張症","Jlvnl5k","D-07-04-04-01,D-07-04-04-02,D-07-04-04-03,D-07-04-04-04","","","","","","","","","",""
"消化器系","疾患・病態","胆道疾患","","膵・胆管合流異常症","Jlvnl5s","D-07-04-04-01,D-07-04-04-02,D-07-04-04-03,D-07-04-04-04","","","","","","","","","",""
"消化器系","疾患・病態","肝疾患","肝炎","A 型","Jlvnl50","D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11","","","","","","","","","",""
"消化器系","疾患・病態","肝疾患","肝炎","B 型","Jlvnl54","D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11","","","","","","","","","",""
"消化器系","疾患・病態","肝疾患","肝炎","C 型","Jlvnl6A","D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11","","","","","","","","","",""
"消化器系","疾患・病態","肝疾患","肝炎","D 型","Jlvnl6E","D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11","","","","","","","","","",""
"消化器系","疾患・病態","肝疾患","肝炎","E 型","Jlvnl6M","D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11","","","","","","","","","",""
"消化器系","疾患・病態","肝疾患","肝炎","急性","Jlvnl6Q","D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11","","","","","","","","統合すべきか?","",""
"消化器系","疾患・病態","肝疾患","肝炎","慢性","Jlvnl6Y","D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11","","","","","","","","統合すべきか?","",""
"消化器系","疾患・病態","肝疾患","肝炎","劇症型","Jlvnl6g","D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11","","","","","","","","","",""
"消化器系","疾患・病態","肝疾患","肝硬変および合併症","門脈圧亢進症","Jlvnl6k","D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11","","","","","","","","","",""
"消化器系","疾患・病態","肝疾患","肝硬変および合併症","肝性脳症","Jlvnl6s","D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11","","","","","","","","","",""
"消化器系","疾患・病態","肝疾患","肝硬変および合併症","肝癌","Jlvnl6w","D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11","","","","","","","","","",""
"消化器系","疾患・病態","肝疾患","","アルコール性肝障害","Jlvnl64","D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11","","","","","","","","","",""
"消化器系","疾患・病態","肝疾患","","薬物性肝障害","Jlvnl68","D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11","","","","","","","","","",""
"消化器系","疾患・病態","肝疾患","","肝膿瘍","Jlvnl7E","D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11","","","","","","","","","",""
"消化器系","疾患・病態","肝疾患","","原発性胆汁性肝硬変","Jlvnl7I","D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11","","","","","","","","","",""
"消化器系","疾患・病態","肝疾患","","原発性硬化性胆管炎","Jlvnl7Q","D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11","","","","","","","","","",""
"消化器系","疾患・病態","肝疾患","","自己免疫性肝炎","Jlvnl7Y","D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11","","","","","","","","","",""
"消化器系","疾患・病態","肝疾患","","脂肪肝","Jlvnl7c","D-07-04-05-01,D-07-04-05-02,D-07-04-05-03,D-07-04-05-04,D-07-04-05-05,D-07-04-05-06,D-07-04-05-07,D-07-04-05-08,D-07-04-05-09,D-07-04-05-10,D-07-04-05-11, D-07-04-05-11","","","","","","","","","",""
"消化器系","疾患・病態","膵臓疾患","","急性膵炎（アルコール性・胆石性・特発性）","Jlvnl7k","D-07-04-06-01,D-07-04-06-02,D-07-04-06-03","","","","","","","","","",""
"消化器系","疾患・病態","膵臓疾患","","慢性膵炎（アルコール性・特発性）","Jlvnl7o","D-07-04-06-01,D-07-04-06-02,D-07-04-06-03","","","","","","","","","",""
"消化器系","疾患・病態","膵臓疾患","","自己免疫性膵炎","Jlvnl7w","D-07-04-06-01,D-07-04-06-02,D-07-04-06-03","","","","","","","","","",""
"消化器系","疾患・病態","腹膜・腹壁・横隔膜疾患","","腹膜炎","Jlvnl70","D-07-04-07-01,D-07-04-07-02,D-07-04-07-03","","","","","","","","","",""
"消化器系","疾患・病態","腹膜・腹壁・横隔膜疾患","","ヘルニア（滑脱・嵌頓・絞扼）","Jlvnl78","D-07-04-07-01,D-07-04-07-02,D-07-04-07-03","","","","","","","","","",""
"消化器系","疾患・病態","腹膜・腹壁・横隔膜疾患","","鼠径部ヘルニア","Jlvnl8E","D-07-04-07-01,D-07-04-07-02,D-07-04-07-03","","","","","","","","","",""
"消化器系","疾患・病態","腫瘍性疾患","","※腫瘍の項目を参照","Jlvnl8I","D-07-04-08-01,D-07-04-08-02,D-07-04-08-03,D-07-04-08-04,D-07-04-08-05,D-07-04-08-06,D-07-04-08-07,D-07-04-08-08,D-07-04-08-09,D-07-04-08-10,D-07-04-08-11,D-07-04-08-12","","","","","","","","","",""
